"Name","mmax","Mmax","z","dL (Mpc)"
"SN2007jx","20.33","-19.24","0.178","888.6"
"SDSS-II SN 19560","22.84","-17.0062","0.201744","1021.27"
"SDSS-II SN 19344","21.26","-19.4702","0.299019","1595.35"
"SDSS-II SN 8138","22.07","-19.3028","0.397867","2224.84"
"SN2018fet","18.16","-17.6","0.032","145"
"SDSS-II SN 12892","20.9","-18.0227","0.133448","648.235"
"SDSS-II SN 13344","21.35","-18.5644","0.207977","1056.59"
"SN2007qp","20.96","-19.5","0.265,0.265","1389"
"SN2002jx","23.5","-19.544","0.8446","5517"
"SDSS-II SN 9558","22.21","-19.1213","0.390578","2176.96"
"SDSS-II SN 21605","21.18","-19.0421","0.238542","1232.78"
"SN2019xbf","18.41","-18.98","0.0669","310.9"
"PSc450274","22.63","-19.179","0.48321","2801.56"
"AT2018jfg","17.97","-19.272","0.062471","289.443"
"SDSS-II SN 5473","21.41","-19.1493","0.28,0.27714","1462.1"
"iPTF14evz","19.2","-18.5","0.078","365"
"SDSS-II SN 15071","20.85","-21.2","0.54","3200"
"SN2005iy","22.05","-19.36","0.404,0.386","2265"
"SDSS-II SN 859","20.92","-19.6486","0.278296","1469.08"
"SDSS-II SN 17345","","","0.483,0.403","2800"
"SDSS-II SN 10915","","","0.2244","1150.7"
"SN2006rz","19.7","-15.996","0.03089,0.03092","139.92"
"SDSS-II SN 15669","","","0.453,0.381","2594"
"SDSS-II SN 14268","21.22","-19.19","0.259,0.216","1353"
"PSc200026","21.75","-19.194","0.32881","1780.43"
"SDSS-II SN 13334","21.79","-18.4987","0.24571","1274.8"
"SDSS-II SN 19335","21.83","-19.259","0.350692","1918.97"
"SDSS-II SN 4572","22.82","-18.4738","0.384125","2134.76"
"PS1-10byn","","","0.179","894.2"
"SN2007rp","20.29","-18.72","0.1388","676.51"
"SDSS-II SN 20105","","","0.289,0.255","1534"
"SN2001fj","23.3","-16.7","0.22,0.22","1130"
"SN2006fr","21.18","-19.61","0.307","1645"
"SN2006mh","21.8","-19.768","0.4339,0.4359","2464.8"
"SN2007jy","20.7","-18.93","0.1832","917.41"
"SDSS-II SN 19701","20.53","-18.4185","0.135003","656.434"
"SN2005fx","21.35","-19.18","0.273,0.337,0.342","1437"
"SDSS-II SN 19545","21.47","-19.3351","0.309131","1657.7"
"SDSS-II SN 17906","20.66","-18.988","0.184,0.1847","925.74"
"SDSS-II SN 6085","21.05","-21.4","0.65,0.51","4010"
"SDSS-II SN 15385","21.6","-18.4","0.216,0.196","1102"
"CSS141117:030348+002415","17.6","-19","0.04","180"
"SDSS-II SN 5468","21.42","-19.14","0.277,0.267,0.238","1461"
"SN2018ghr","18.61","-18.9","0.072","336"
"SDSS-II SN 17915","21.79","-18.19","0.214","1091"
"SDSS-II SN 3203","20.93","-21.6954","0.697542","4364.97"
"PS1-10mi","22.44","-18.7","0.36","1980"
"SN2017ays","17.93","-16.8719","0.020515","92.2122"
"SN2005jj","20.65","-20.55","0.368","2030"
"SN2006fs","19.74","-18.526","0.099304","471.81"
"SDSS-II SN 15497","21","-18.8608","0.203063","1028.72"
"SDSS-II SN 17907","20.72","-19.0374","0.193909","977.159"
"SN2006md","21.25","-19.173","0.299,0.262,0.2609,0.247","1364.7"
"SN2006lm","21.29","-19.25","0.275,0.223,0.294,0.297","1449"
"SDSS-II SN 4808","21.75","-19.3291","0.34916","1909.21"
"SN2007sb","20.57","-19.39","0.212,0.186,0.221,0.223","1079"
"SDSS-II SN 18851","21.43","-19.2532","0.292837","1557.46"
"SDSS-II SN 1832","20.52","-21.1308","0.450293","2575.7"
"AT2013jy","20.5","-18.17","0.119","572.7"
"SDSS-II SN 20750","20.91","-19.8697","0.305661","1636.25"
"SN2005hu","20.93","-19.1133","0.2197,0.220282","1126.93"
"SDSS-II SN 18610","","","0.1288","623.81"
"SDSS-II SN 14951","20.73","-20.8","0.427,0.525,0.431","2418"
"SN2006fv","19.78","-19.1191","0.132042","640.834"
"SN2007jn","20.12","-16.9403","0.057521","265.582"
"SN2019eho","17.9","-17.858","0.03177","143.99"
"SN2002ik","20.1","-15.7","0.032,0.032","145"
"SN2006fx","21.04","-19.04","0.2239","1147.8"
"SDSS-II SN 1858","20.58","-22.05","0.699","4376"
"SDSS-II SN 19723","21.22","-19.1557","0.255413","1332.1"
"SDSS-II SN 5461","21.74","-16.868","0.115844","556.407"
"SDSS-II SN 3206","21.16","-20.3188","0.417071","2352.07"
"PTF12giy","17.65","-17.897","0.02885","130.48"
"SDSS-II SN 19045","21.63","-16.478","0.09247","437.34"
"SN2006ql","21.84","-18.7086","0.275823,0.27","1454.15"
"SN2007lp","20.81","-18.73","0.176,0.171,0.196,0.197","877.6"
"SDSS-II SN 8675","21.09","-20.7796","0.496475","2893.74"
"SN2007sm","19.99","-17.6","0.072","336"
"SDSS-II SN 14937","22.18","-19.6132","0.479807","2778.01"
"SDSS-II SN 3323","21.8","-19.12","0.326","1763"
"SNhunt297","18.9","-16.29","0.0245","110.5"
"SDSS-II SN 3611","21.24","-16.8794","0.092944","439.722"
"SN2007nb","21.44","-19.121","0.2773","1463.1"
"SDSS-II SN 21648","21.12","-20.513","0.44672","2551.44"
"SN2006ne","18.58","-18.0377","0.047032","215.539"
"SDSS-II SN 18100","22.06","-19.8169","0.498089","2905"
"SDSS-II SN 19059","21.05","-20.21","0.378,0.326","2095"
"SN2001jb","23.2","-19.43","0.698,0.698","4368"
"SDSS-II SN 13011","","","0.202,0.0902,0.184","1023"
"SDSS-II SN 15944","21.28","-19.43","0.296,0.263,0.329,0.332","1577"
"SDSS-II SN 6875","","","0.16744","830.633"
"SMT16ojf","19.5","-18.4","0.085","400"
"SDSS-II SN 2926","21.34","-19.4295","0.304287","1627.77"
"SDSS-II SN 19169","21.42","-18.5336","0.211647","1077.49"
"SDSS-II SN 3811","22.3","-19.1915","0.419444","2367.89"
"SN2005fh","19.03","-19.6441","0.11915,0.119343","574.513"
"SDSS-II SN 7444","21.21","-19.117","0.2499","1299.5"
"SN2001hp","23","-17.99","0.335,0.34,0.335","1819"
"SDSS-II SN 1395","20.52","-19.149","0.186404","935.222"
"SDSS-II SN 6712","22.08","-16.013","0.09184","434.18"
"SDSS-II SN 1403","21.02","-20.1365","0.361378","1987.41"
"SDSS-II SN 11311","21.12","-18.7569","0.204532","1037.04"
"SNHiTS15al","22.8","-17","0.2","1000"
"PSc190142","22.63","-18.9484","0.43599","2478.88"
"SN2007fr","18.17","-18.59","0.0501","230.1"
"SDSS-II SN 8742","21.02","-18.96","0.214,0.214,0.321","1091"
"SN2001fi","23","-17.9","0.32,0.32","1730"
"SDSS-II SN 15970","21.2","-17.1733","0.104225","496.807"
"SDSS-II SN 15935","21.37","-18.38","0.193,0.176","972.1"
"PTF10vnu","17.67","-18.904","0.04611","211.17"
"PSc070264","21.76","-19.1947","0.33038","1790.3"
"SDSS-II SN 1577","21.74","-20.3582","0.549966","3271.96"
"SN2004ey","15.14","-18.8","0.014627,0.015786","63"
"SN2007ql","20.68","-19.5","0.23,0.23,0.22","1180"
"SN2001jf","23.46","-19.51","0.815,0.815","5281"
"SN2006qg","20.59","-19.47","0.222","1137"
"SDSS-II SN 8744","21.57","-19.7896","0.395529","2209.46"
"AT2019lsh","18.38","-18.4633","0.052117","239.711"
"SN2006ga","20.74","-19.459","0.2361","1218.5"
"SDSS-II SN 16277","22.36","-19.004","0.396301","2214.54"
"SDSS-II SN 13807","22.11","-19.8366","0.513851","3015.47"
"PSc540156","22.48","-19.525","0.52746","3111.58"
"SDSS-II SN 15192","22.05","-16.9723","0.139552","680.5"
"SDSS-II SN 2569","21.98","-17.9694","0.211247","1075.2"
"SDSS-II SN 14947","22.35","-17.8098","0.232006","1194.69"
"SN2003le","22.35","-19.776","0.558,0.5569,0.561","3321.7"
"SN2004fj","22","-17.681","0.1874","940.77"
"SN2007ib","19.7","-16.217","0.03445,0.03416","155.1"
"SN2007qk","21.4","-19.36","0.303","1620"
"SN2007pg","19.45","-19.2138","0.118789","571.641"
"SDSS-II SN 21452","21.33","-17.6288","0.13563","659.744"
"AT2019cm","19.4","-18.6084","0.088398","416.937"
"PTF13ccq","19.9","-19.36","0.155","763.1"
"SDSS-II SN 17696","20.59","-18.3392","0.13384","650.301"
"SDSS-II SN 17729","20.52","-20.8913","0.404738","2270.19"
"SN2019agl","19.11","-18.7","0.081","380"
"SDSS-II SN 9133","20.94","-19.5386","0.267374","1403.38"
"SDSS-II SN 15417","21.41","-19.36","0.304,0.277,0.247","1626"
"SDSS-II SN 13719","22.06","-16.6186","0.119584","575.763"
"SN2007ts","21.39","-19.4533","0.314419","1690.51"
"SN2019dvd","18.08","-16.812","0.02138","96.162"
"SDSS-II SN 19061","21.6","-20.284","0.499671","2916.04"
"SN2006tk","21.29","-19.535","0.313,0.3119","1674.9"
"SDSS-II SN 14162","22.12","-19.5909","0.462522","2659.12"
"SDSS-II SN 2970","19.6","-18.295","0.083981","394.921"
"SDSS-II SN 3805","21.52","-18.7924","0.24832","1290.16"
"SN2007qj","20.65","-18.73","0.164","811.9"
"SN1998do","18.88","-19.2","0.092,0.092,0.092","435"
"SN2019hny","17.4","-23","0.26","1360"
"SN2005jm","20.75","-19.1279","0.2037,0.204617","1037.52"
"SN2007kv","21","-19.48","0.268,0.332,0.334","1407"
"PTF11lxj","19.74","-19.3","0.14","683"
"PSc320123","22.15","-19.4589","0.44196","2519.19"
"SDSS-II SN 7413","21.56","-19.66","0.372,0.321","2056"
"SN2006pp","21.82","-19.194","0.339207","1845.99"
"SDSS-II SN 6687","21.89","-19.47","0.3956","2209.9"
"SDSS-II SN 16711","21.69","-19.3229","0.339034","1844.89"
"SDSS-II SN 7390","22.1","-19.1152","0.370926","2048.99"
"SDSS-II SN 14525","20.72","-18.5273","0.154365","759.693"
"SN2006kx","20.07","-18.83","0.132,0.153,0.154","640.6"
"SDSS-II SN 18598","20.57","-19.291","0.203086","1028.85"
"SDSS-II SN 6696","21.3","-18.9257","0.2379,0.23892","1234.99"
"SDSS-II SN 5963","20.84","-19.354","0.2356","1215.6"
"SDSS-II SN 14528","21.32","-19.68","0.337","1832"
"SN2007qw","19.92","-19.273","0.150654","739.735"
"SDSS-II SN 18606","21.65","-19.3595","0.338532","1841.72"
"PSc100142","22.19","-19.2864","0.41664","2349.19"
"SDSS-II SN 3400","22.15","-17.4216","0.178468","891.212"
"SDSS-II SN 15580","20.46","-20.4405","0.322518","1741"
"SDSS-II SN 14531","21.61","-19.51","0.356,0.413","1953"
"SDSS-II SN 19065","20.21","-19.0392","0.154496","760.399"
"SDSS-II SN 20431","21.51","-19.87","0.399,0.342","2232"
"AT2019axt","18","-18.9207","0.053984","248.628"
"SDSS-II SN 20450","21.58","-21.091","0.712144","4476.73"
"SDSS-II SN 16431","20.85","-19.7","0.276,0.245","1455"
"SDSS-II SN 13716","21.27","-19.63","0.322,0.284","1738"
"SDSS-II SN 18096","21.12","-18.1829","0.158255","780.698"
"PS1-10ls","22.408","-19.1","0.42","2370"
"SDSS-II SN 15381","19.47","-19.89","0.162,0.162","801"
"SN2005fe","20.88","-19.13","0.217","1108"
"SDSS-II SN 6471","","","0.2018","1021.6"
"SN2007pe","21.26","-19.51","0.304,0.242,0.353,0.361","1626"
"PSc420239","21.23","-19.3976","0.28568","1513.84"
"SDSS-II SN 3957","21.56","-17.42","0.137,0.127","667"
"SDSS-II SN 15865","22.08","-18.9","0.33","1790"
"AT2013jz","20","-17.5","0.071","331"
"SDSS-II SN 1390","","","0.0241","108.6"
"SDSS-II SN 14938","21.14","-18.512","0.184998","927.399"
"SDSS-II SN 15945","21.58","-19.228","0.309534","1660.2"
"SDSS-II SN 10506","22.15","-12.81","0.0221","99.45"
"SN2019dlr","19.17","-21.2","0.26","1360"
"AT2015df","17","-20.2367","0.062319","288.708"
"SDSS-II SN 4619","22.01","-17.5787","0.179835","898.768"
"ESSENCEn271","","","0.241","1247"
"SDSS-II SN 17682","19.97","-20.8034","0.304812","1631.01"
"SDSS-II SN 20434","20.48","-20.1092","0.280855","1484.56"
"SN2019fkp","19.35","-18.6","0.086","405"
"SDSS-II SN 16952","22.21","-17.9832","0.235486","1214.94"
"SN2006fm","19.62","-19.17","0.1257","607.59"
"SDSS-II SN 9895","21.2","-19.74","0.328,0.244","1775"
"SN2006gn","19.13","-19.24","0.104,0.104","495.7"
"SN2005gi","19.59","-17.1855","0.05048,0.050534","232.169"
"SDSS-II SN 19417","20.95","-21.57","0.664,0.687","4111"
"SDSS-II SN 14539","21.74","-19.52","0.379","2101"
"SN2006ja","19.32","-19.11","0.107,0.0964,0.0969","511"
"SDSS-II SN 2582","21.93","-15.578","0.070483","328.392"
"SDSS-II SN 5359","21.91","-19.26","0.363,0.315","1998"
"PSc540157","22.05","-19.188","0.3747","2073.4"
"SDSS-II SN 20874","20.87","-18.0052","0.130635","633.439"
"SDSS-II SN 13164","20.67","-19.4933","0.232375","1196.84"
"SN2002ij","21.2","-18.56","0.194,0.19,0.194","977.7"
"SDSS-II SN 13024","21.22","-20.1771","0.402179","2253.28"
"SN2000fw","19.1","-19.1","0.0962","456.1"
"DES15S1mvv","23.3","-17.07","0.255","1330"
"PSc540112","20.89","-19.055","0.2108","1072.7"
"SN2005ju","21.3","-19.53","0.313,0.315","1682"
"SDSS-II SN 3959","20.83","-18.801","0.1833","917.97"
"PTF12gzk","14.57","-19.362","0.01377","61.582"
"SDSS-II SN 15564","22.43","-18.9123","0.392503","2189.59"
"SN2005it","21.4","-19.74","0.359,0.364","1972"
"SDSS-II SN 20877","21.89","-18.76","0.288,0.255","1528"
"SDSS-II SN 13808","21.23","-19.2568","0.268349","1409.22"
"SDSS-II SN 18907","20.98","-19.0248","0.216528","1105.39"
"SDSS-II SN 14177","21.99","-18.6999","0.293703","1562.76"
"SDSS-II SN 7412","21.73","-19.5091","0.374888","2074.65"
"SN2007py","21.28","-18.6496","0.20939,0.21","1064.63"
"SDSS-II SN 14538","21.92","-18.2713","0.235292","1213.81"
"SDSS-II SN 10997","21.23","-17.1","0.102,0.0959","485.5"
"SDSS-II SN 1456","21.17","-18.6472","0.199155","1006.65"
"SDSS-II SN 9102","21.36","-18.1239","0.171605","853.433"
"SN2007ku","21.74","-19.48","0.372,0.472","2056"
"PTF12ixq","20.4","-18.3","0.12","578"
"SDSS-II SN 15971","21.72","-19.13","0.316,0.316,0.431,0.437","1700"
"SDSS-II SN 3402","21.39","-20.25","0.448,0.378","2560"
"SN2019bij","18.6","-19.3","0.085","400"
"LSQ14dud","19","-19.5","0.11","526"
"SN1997ai","22.06","-19.6","0.45,0.45,0.45","2570"
"SDSS-II SN 15422","22.26","-18.7214","0.334328","1815.16"
"SDSS-II SN 21457","20.97","-19.62","0.281","1485"
"SDSS-II SN 8755","21.07","-19.535","0.282827","1496.51"
"SDSS-II SN 16477","22.73","-18.6608","0.401058","2245.88"
"SN2006hl","19.73","-19.426","0.1482","726.58"
"PSc180424","22.05","-19.2286","0.38154","2117.9"
"SDSS-II SN 18920","20.94","-19.63","0.279,0.337,0.294","1473"
"SDSS-II SN 15947","20.45","-19.4022","0.202286","1024.33"
"SN2005jd","21.16","-19.37","0.273","1437"
"SDSS-II SN 19640","20.73","-17.7563","0.10967","524.636"
"SN2007sc","21.24","-19.2497","0.268693,0.27","1411.28"
"PSc310574","21.17","-19.0435","0.23763","1227.45"
"SDSS-II SN 11532","19.26","-17.2805","0.045406","207.845"
"SN2006fn","20.57","-19.028","0.1806,0.1808","903"
"SN2002gq","21","-19","0.2,0.2","1000"
"SDSS-II SN 7248","22.24","-16.5587","0.12622","610.311"
"SDSS-II SN 11518","21.35","-18.6085","0.212107","1080.11"
"SN2018dht","18.11","-17","0.02","90"
"SDSS-II SN 19047","21.24","-20.2117","0.412081","2318.86"
"SDSS-II SN 9132","21.43","-19.77","0.368,0.384,0.329","2030"
"SDSS-II SN 6491","21.07","-17.4273","0.110215","527.432"
"SDSS-II SN 15303","20.84","-19.34","0.234,0.234,0.323,0.329","1206"
"SDSS-II SN 5877","21.12","-19.74","0.317,0.278","1707"
"SDSS-II SN 3780","22.01","-19.1502","0.361973","1991.24"
"PSc080735","22.57","-19.85","0.635","3893"
"SN2005hl","17.4","-17.6687","0.023181","104.402"
"SDSS-II SN 7254","","","0.366238","2018.7"
"SDSS-II SN 1285","21.55","-19.5","0.345","1883"
"PSc180255","22.11","-19.5807","0.45836","2630.66"
"SDSS-II SN 14536","","","0.474318","2740.14"
"SN1954W","19.4","-12.4","0.0052","23.1"
"SDSS-II SN 21451","22.2","-19.76","0.518,0.426","3045"
"AT2014fw","19.9","-17.4","0.064","297"
"SDSS-II SN 19165","22.19","-19.2871","0.416755","2349.96"
"SN2019hql","18.64","-19","0.07","330"
"SDSS-II SN 14532","20.86","-19.1371","0.215785","1101.13"
"SDSS-II SN 17473","21.15","-18.3184","0.170417","846.919"
"SDSS-II SN 20823","","","0.444252","2534.71"
"SN1999ff","23.1","-18.57","0.455,0.455,0.46,0.46","2608"
"SDSS-II SN 19428","20.51","-17.55","0.0903","426.5"
"SDSS-II SN 20886","21.04","-20.8006","0.490074","2849.17"
"SDSS-II SN 17733","21.74","-19.4672","0.369608","2040.46"
"SDSS-II SN 1576","22.28","-19.4987","0.476722","2756.71"
"SDSS-II SN 20435","21.32","-19.7005","0.340192","1852.22"
"SN2006iz","19.56","-19.1","0.12,0.14","578"
"SN2017jfd","19.1","-18.7","0.082","385"
"SN1999ar","19.67","-19.5","0.15,0.15","736"
"PSc300067","20.71","-18.9475","0.18545","929.913"
"PTF13cjh","20.1","-19.8","0.21","1070"
"SDSS-II SN 7417","20.9","-20.2223","0.355927","1952.44"
"SDSS-II SN 11317","22.78","-17.9","0.292,0.258","1552"
"SDSS-II SN 19052","21.71","-18.9869","0.294615","1568.34"
"AT2019qve","19.23","-18.9","0.092","435"
"SDSS-II SN 5976","22.41","-16.6394","0.141257","689.551"
"SDSS-II SN 1998","22.08","-20.3","0.625,0.495","3819"
"SDSS-II SN 13177","22.37","-18.5035","0.318671","1716.97"
"SN2011ez","18.9","-19","0.08","380"
"SDSS-II SN 20825","21.81","-17.14","0.135,0.126","656.4"
"SN2006ty","20.43","-19.292","0.1909,0.1923","960.31"
"SDSS-II SN 16478","21.22","-19.9509","0.363696","2002.32"
"PTF12izc","20.1","-18","0.08","380"
"SN2005fz","19.88","-18.8","0.12,0.12","578"
"PSc080098","22.02","-19.0102","0.34166","1861.53"
"SN2006mx","21.2","-17.7","0.13,0.13,0.13","630"
"SDSS-II SN 11540","21.02","-18.9849","0.216538","1105.44"
"SN2002im","20.9","-19.4","0.25,0.25","1300"
"SN2006og","19.85","-19.81","0.186,0.16","933"
"SDSS-II SN 20447","21.85","-19.6411","0.419368","2367.39"
"LSQ14cnl","19.2","-17.76","0.0549","253"
"SDSS-II SN 13040","20.65","-17.06","0.0774","362.3"
"SN2011kh","18.5","-17.1448","0.030171","136.587"
"PS15bsn","20.07","-17.5","0.071","331"
"SDSS-II SN 16298","21.71","-18.8947","0.282787","1496.27"
"SDSS-II SN 15401","21.71","-19.29","0.337,0.294","1832"
"SDSS-II SN 20448","20.9","-20.0837","0.334672","1817.33"
"SDSS-II SN 13532","21.55","-18.9081","0.264942","1388.82"
"SDSS-II SN 1457","21.51","-19.6391","0.360187","1979.76"
"SN2007pf","19.2","-19.73","0.134","651.1"
"SDSS-II SN 7365","22.06","-19.2904","0.393925","2198.92"
"PSc200080","22.8","-19.0159","0.48471","2811.95"
"SN2001jg","22.2","-19.02","0.371,0.37,0.371","2049"
"SDSS-II SN 14540","21.01","-19.38","0.257,0.264,0.236","1342"
"DES14S1kdq","23.1","-17.835","0.3275","1772.2"
"SDSS-II SN 6479","21.01","-19.17","0.234,0.234,0.237,0.238","1206"
"PSc180417","21.57","-19.229","0.3083","1652.6"
"SDSS-II SN 10524","22.01","-15.71","0.0776","363.3"
"SDSS-II SN 10324","21.1","-19.243","0.251725","1310.26"
"SN2004fo","21.93","-19.977","0.506,0.5049","2952.6"
"SDSS-II SN 16148","21.52","-19.28","0.308,0.249,0.224","1651"
"SDSS-II SN 7373","21.1","-19.482","0.2799","1478.8"
"SN2006pl","20.72","-19.03","0.193,0.228,0.231,0.211","972.1"
"SN2006lo","20.42","-20.29","0.296,0.197,0.198","1577"
"SDSS-II SN 17695","20.7","-18.9266","0.182906","915.781"
"PSc100358","21.57","-19.6","0.36","1980"
"SDSS-II SN 19449","21.23","-19.7283","0.330917","1793.68"
"SN2005fo","20.98","-19.5","0.268","1407"
"AT2020cjv","19.62","-17.1758","0.051002","234.397"
"SDSS-II SN 18130","22.7","-18.99","0.458,0.383","2628"
"SDSS-II SN 19048","20.88","-18.0977","0.1368,0.136789","665.868"
"SDSS-II SN 18104","22.64","-18.9013","0.428842","2430.8"
"SDSS-II SN 13545","21.11","-18.8686","0.214018","1091.02"
"SN2007lc","19.47","-19.12","0.115,0.0985,0.109","552.1"
"SN2007ua","22.22","-19.882","0.5509,0.5514","3278.7"
"SN2019cnx","18.94","-18.8232","0.079119","370.827"
"SDSS-II SN 9817","21.7","-18.3889","0.224795","1152.93"
"PTF12ms","19.3","-19.286","0.1147","550.5"
"SDSS-II SN 1415","20.99","-18.9672","0.211988","1079.43"
"SDSS-II SN 7404","21.55","-19.1037","0.289015","1534.13"
"SN2002il","20","-18.7","0.12,0.12","578"
"PS1-10act","20.857","-19.4","0.24","1240"
"SN2006kw","20.45","-19.2","0.185,0.175,0.213,0.214","927.4"
"SDSS-II SN 17737","21.26","-19.78","0.343","1870"
"ESSENCEm062","21.45","-19.3862","0.313434,0.3139,0.314,0.3129","1684.39"
"SN1994M","16.12","-18.7","0.02316","94"
"GRB 140311A","","","4.95","47170"
"SN2007lo","20.04","-18.96","0.138,0.132,0.154","672.3"
"SDSS-II SN 3935","22.07","-20.374","0.642542","3949.61"
"SDSS-II SN 5890","20.52","-19.066","0.1796","897.47"
"PSc070459","22.06","-19.9605","0.53115","3137.75"
"SDSS-II SN 13802","","","0.313563","1685.19"
"SDSS-II SN 6683","23.32","-18.6052","0.508965","2981.13"
"SN2004br","15.46","-19.4","0.02316","94"
"SN2007ie","19.94","-18.1905","0.093413","442.08"
"PS1-11aqj","","","0.093","440"
"SDSS-II SN 6709","20.82","-19.7663","0.280494","1482.38"
"SDSS-II SN 3426","20.13","-20.0362","0.232672","1198.56"
"SN2001hk","19.5","-19.4","0.13,0.13","630"
"AT2012iw","18.1","-16.7213","0.020698","93.0474"
"SDSS-II SN 19447","21.26","-20.1606","0.406412","2281.26"
"SDSS-II SN 13393","21.62","-18.9","0.27","1420"
"SN2006fo","16.1","-18.7224","0.020709","93.0976"
"PS1-10aac","21.97","-20","0.6","3600"
"AT2019pev","16.04","-22.2","0.096","455"
"iPTF15dmk","20.2","-17.1","0.065","302"
"SN1999cy","18","-17.2","0.025","113"
"SN2010A","15.1","-19.7213","0.020698","93.0474"
"SDSS-II SN 7374","21","-20.05","0.345,0.495","1883"
"SDSS-II SN 20150","22.25","-20.1912","0.641724","3943.51"
"SN2004hn","22.86","-19.337","0.576,0.5749,0.582","3451.7"
"SDSS-II SN 6877","20.69","-20.2","0.321","1732"
"SDSS-II SN 13168","21.63","-19.37","0.337,0.271,0.242","1832"
"SDSS-II SN 16090","22.04","-19.855","0.502136","2933.27"
"SDSS-II SN 15413","20.29","-17.314","0.073616","343.733"
"SDSS-II SN 15423","21.32","-20.0369","0.395058","2206.36"
"SDSS-II SN 716","20.16","-20.75","0.324","1750"
"SDSS-II SN 9326","21.83","-19.3","0.35","1910"
"SDSS-II SN 16144","19.62","-21.1163","0.299828","1600.32"
"SN2007lm","20.93","-19.04","0.213,0.213","1085"
"ESSENCEc023","","","0.4,0.3987","2230.3"
"SDSS-II SN 20047","22","-19.2353","0.374257","2070.56"
"SDSS-II SN 20088","20.79","-19.48","0.244,0.244,0.281,0.284","1265"
"AT2012io","21","-17.3425","0.10279","489.503"
"SDSS-II SN 6714","20.49","-20.971","0.4137","2329.6"
"SDSS-II SN 15946","20.84","-20.4005","0.375137","2076.27"
"SDSS-II SN 15549","21.79","-19.8536","0.448849","2565.89"
"SDSS-II SN 5235","21.37","-18.9775","0.252225","1313.22"
"SN2019mcb","19.37","-18.7","0.092","435"
"SN1996bc","22.5","-19.2","0.46","2640"
"SN2005fi","20.88","-19.56","0.263","1377"
"SN2005gg","20.73","-19.4213","0.2304,0.231138","1189.65"
"SCP-16C3","24.73","-20.2896","2.2216","18111.5"
"SN2005gd","20.26","-19.1","0.16,0.16","790"
"SN2005gw","21.14","-19.16","0.247","1282"
"SDSS-II SN 765","21.26","-19.1648","0.261047","1365.58"
"SN2007qy","20.28","-19.85","0.229","1177"
"SDSS-II SN 9317","21.57","-18.8116","0.256085","1336.08"
"SDSS-II SN 18955","21.48","-19.8103","0.383521","2130.82"
"SDSS-II SN 4078","22.16","-19.3","0.414","2332"
"SDSS-II SN 16408","21.37","-19.103","0.2667","1399.3"
"SDSS-II SN 16410","21.45","-19.1957","0.287998","1527.94"
"SDSS-II SN 16543","21.66","-18.9965","0.289376","1536.34"
"SN2006kk","21.58","-19.93","0.423","2392"
"SDSS-II SN 15647","21.89","-19.43","0.389,0.334","2167"
"SDSS-II SN 1658","21.17","-19.3906","0.277296","1463.04"
"SDSS-II SN 5735","21.02","-19.11","0.229,0.191,0.175","1177"
"SDSS-II SN 703","21.28","-19.72","0.337,0.342","1832"
"SN2007pc","20.19","-18.81","0.138,0.124,0.141,0.142","672.3"
"SDSS-II SN 14403","21.2","-19.4599","0.289816","1539.02"
"SN2007kx","20.24","-19.02","0.155,0.152","763.1"
"SN1999fj","23.5","-19.47","0.815,0.81,0.81","5281"
"SDSS-II SN 15693","22.07","-18.9573","0.341212","1858.69"
"SN2001im","21","-16.645","0.07501,0.075","350.58"
"SDSS-II SN 14750","21.02","-18.968","0.2149","1096.1"
"SN1999fg","22.9","-18.6","0.42,0.42","2370"
"SDSS-II SN 19708","20.84","-19.3718","0.165,0.237445","1226.37"
"SDSS-II SN 11854","21.52","-16.9381","0.108283","517.531"
"SDSS-II SN 15516","20.96","-20.2209","0.365315","2012.75"
"SDSS-II SN 17371","21.14","-19.4423","0.279991","1479.33"
"ESSENCEm138","22.62","-19.623","0.5869,0.5877","3538.9"
"SN2005eh","21.75","-17.0263","0.124957","603.715"
"SN2006nh","21.67","-19.51","0.365,0.334,0.562","2011"
"SDSS-II SN 18933","21.05","-19.39","0.263,0.235","1377"
"SN1999fh","22.4","-18.8","0.369,0.36,0.36","2037"
"SDSS-II SN 15363","21.29","-18.2841","0.178667","892.311"
"SDSS-II SN 14405","22.36","-18.3086","0.290943","1545.89"
"SDSS-II SN 19589","21.79","-16.97","0.124,0.116","598.7"
"SDSS-II SN 2639","20.68","-19.3225","0.215,0.216312","1104.15"
"SDSS-II SN 19584","21.32","-17.0347","0.103357","492.388"
"SDSS-II SN 15006","22.24","-19.5531","0.47979","2777.9"
"SN2007mi","19.92","-18.93","0.129","624.9"
"SDSS-II SN 17508","21.8","-19.216","0.339506","1847.88"
"SDSS-II SN 14752","22.13","-19.28","0.404,0.593,0.619","2265"
"PSc540132","22.43","-19.4","0.4877","2832.7"
"AT2020bpm","20.62","-16.4216","0.057036","263.253"
"SDSS-II SN 5104","21.06","-18.9159","0.213758","1089.54"
"SDSS-II SN 15640","20.69","-18.725","0.1664","824.96"
"SDSS-II SN 15657","21.16","-19.69","0.316,0.278","1700"
"SN2019mwa","19.22","-19.66","0.131","635.4"
"CSS151015:014423+004024","19.5","-18.91","0.106","505.9"
"SDSS-II SN 14751","19.87","-20.3909","0.242695","1257.09"
"PSc530100","21.64","-19.217","0.31634","1702.45"
"SN2002jd","22","-18.87","0.318","1713"
